Record Type,Week Ending,Deal ID,Deal Name,Rep,Amount,Rep Category,Draft Category,Draft Flag Reason,Maya Action,Final Category,Direction,Outcome,Outcome Observed,Disagreement Status,Resolved Week,Winner,Note
deal_action,2026-07-10,DL-0095,RDI Systems 2.0,Hugo Halvorsen,70000,Best Case,Omit,"Economic buyer never engaged; close date pushed twice; competitor proposal on the table (M1.4, M5.1)",Rejected draft - kept Best Case,Best Case,Maya more optimistic,Closed Lost,2026-07-24,Resolved,2026-07-24,Draft,
deal_action,2026-07-10,DL-0116,Parcel Plus (DBA Bloomfield) - Renewal + Upsell,Hugo Halvorsen,35792,Commit,Best Case,"Renewal already extended once from June; upsell amount unconfirmed and no order form issued (M1.1, M5.1)",Rejected draft - kept Commit,Commit,Maya more optimistic,Closed Won 35792,2026-07-24,Resolved,2026-07-24,Maya,Maya cited the extension she personally granted and a scoped ~35K upsell; landed at 35792.
weekly_summary,2026-07-10,,,,,,,,,,,,,,,,Draft commit 596000 vs submitted 700000; delta +104000 (Maya more optimistic).
deal_action,2026-07-17,DL-0054,Kiln - Seat adds,Rowan Sinclair,6800,Commit,Best Case,"No named next step; seat-add scope unconfirmed (M1.1, M5.1)",Rejected draft - kept Commit,Commit,Maya more optimistic,Closed Lost,2026-07-24,Resolved,2026-07-24,Draft,Maya cited consistent monthly Kiln growth in her week-12 notes.
deal_action,2026-07-17,DL-0089,DocVault - data cloud,Elena Whitaker,11750,Commit,Best Case,"POC glitches reduced scope; economic buyer not validated (M1.1, M5.1)",Rejected draft - kept Commit,Commit,Maya more optimistic,Closed Lost,2026-07-24,Resolved,2026-07-24,Draft,
deal_action,2026-07-17,DL-0108,Tavro - upsell 2.0,Harper Ramsey,15000,Commit,Best Case,"Stalled in Contract Negotiation; no logged activity in 21 days (M1.1, M5.1)",Rejected draft - kept Commit,Commit,Maya more optimistic,Closed Lost,2026-07-24,Resolved,2026-07-24,Draft,
deal_action,2026-07-17,DL-0118,Aldwin Q3 Growth,Hugo Halvorsen,24720,Commit,Best Case,"Upsell scope not validated; no economic buyer on record (M1.1, M5.1)",Rejected draft - kept Commit,Commit,Maya more optimistic,Closed Won 24720,2026-07-24,Resolved,2026-07-24,Maya,
deal_action,2026-07-17,DL-0007,Beacon Ridge Group 2.0,Hugo Halvorsen,24934,Best Case,Pipeline,"Neither champion nor economic buyer validated; compelling event recorded as a gap; the brief's own signals contradict each other on pricing - active pricing discussions and a stated commitment to execution against a proposal already deemed ""too much"", a CFO treating the purchase as unplanned spend while cutting to meet EBITDA goals, and a stated $20-30K budget threshold (M1.5, M5.4)",Rejected draft - kept Best Case,Best Case,Maya more optimistic,Open,,Open,,,"Rep moved it to Commit at week 13, widening the gap against the draft."
deal_action,2026-07-17,DL-0033,Vidora - Seat Add,Cody Danforth,45000,Commit,Commit,,Approved draft,Commit,Agreement,Open,,None,,,
weekly_summary,2026-07-17,,,,,,,,,,,,,,,,Draft commit 663651 vs submitted 500000; delta -163651 (Maya more conservative). Maya dropped her call 200000 week over week.
